repo,file,clone_class_id,clone_type,test_name,class_size,llm_detectou
,test_utils.py,CC0001,Type-2,TestSetupReadline.test_nested,2,YES
,test_utils.py,CC0001,Type-2,TestSetupReadline.test_magic_methods,2,YES
,test_inference/test_buildout_detection.py,CC0002,Type-2,test_append_on_non_sys_path,2,YES
,test_inference/test_buildout_detection.py,CC0002,Type-2,test_path_from_invalid_sys_path_assignment,2,YES
,test_inference/test_docstring.py,CC0003,Type-2,test_function_doc,3,YES
,test_inference/test_docstring.py,CC0003,Type-2,test_instance_doc,3,YES
,test_inference/test_docstring.py,CC0003,Type-2,test_docstring_params_formatting,3,YES
,test_inference/test_docstring.py,CC0004,Type-2,test_docstrings_type_dotted_import,3,YES
,test_inference/test_docstring.py,CC0004,Type-2,test_docstrings_param_type,3,YES
,test_inference/test_docstring.py,CC0004,Type-2,test_docstrings_type_str,3,YES
,test_inference/test_docstring.py,CC0005,Type-2,test_numpydoc_parameters_set_of_values,4,YES
,test_inference/test_docstring.py,CC0005,Type-2,test_numpydoc_returns,4,YES
,test_inference/test_docstring.py,CC0005,Type-2,test_numpydoc_returns_set_of_values,4,YES
,test_inference/test_docstring.py,CC0005,Type-2,test_numpydoc_yields,4,YES
,test_inference/test_docstring.py,CC0006,Type-2,test_numpy_returns,2,YES
,test_inference/test_docstring.py,CC0006,Type-2,test_numpy_comp_returns,2,YES
,test_inference/test_gradual/test_typeshed.py,CC0007,Type-2,test_class,2,YES
,test_inference/test_gradual/test_typeshed.py,CC0007,Type-2,test_class_function,2,YES
,test_api/test_call_signatures.py,CC0008,Type-2,test_additional_brackets,2,YES
,test_api/test_call_signatures.py,CC0008,Type-2,test_unterminated_strings,2,YES
,test_api/test_call_signatures.py,CC0009,Type-2,test_call_init_on_class,2,YES
,test_api/test_call_signatures.py,CC0009,Type-2,test_call_init_on_instance,2,YES
,test_api/test_names.py,CC0010,Type-2,test_get_definitions_flat,4,YES
,test_api/test_names.py,CC0010,Type-2,test_dotted_assignment,4,YES
,test_api/test_names.py,CC0010,Type-2,test_multiple_assignment,4,YES
,test_api/test_names.py,CC0010,Type-2,test_multiple_imports,4,YES
,test_api/test_full_name.py,CC0011,Type-2,MixinTestFullName.test_os_path_join,2,YES
,test_api/test_full_name.py,CC0011,Type-2,MixinTestFullName.test_builtin,2,YES
,test_api/test_full_name.py,CC0012,Type-2,TestFullNameWithGotoDefinitions.test_tuple_mapping,2,YES
,test_api/test_full_name.py,CC0012,Type-2,TestFullNameWithGotoDefinitions.test_from_import,2,YES
,test_api/test_full_name.py,CC0013,Type-2,TestFullDefinedName.test_local_names,2,YES
,test_api/test_full_name.py,CC0013,Type-2,TestFullDefinedName.test_imports,2,YES
,test_api/test_interpreter.py,CC0014,Type-2,test_getattr,2,YES
,test_api/test_interpreter.py,CC0014,Type-2,test_slice,2,YES
,test_api/test_interpreter.py,CC0015,Type-2,test_name_not_inferred_properly,2,YES
,test_api/test_interpreter.py,CC0015,Type-2,test_variable_reuse,2,YES
