repo,file,clone_class_id,clone_type,test_name,class_size,llm_detectou
,tests/test_requests.py,CC0001,,TestRequests.test_http_301_changes_post_to_get,3,YES
,tests/test_requests.py,CC0001,,TestRequests.test_http_302_changes_post_to_get,3,YES
,tests/test_requests.py,CC0001,,TestRequests.test_http_303_changes_post_to_get,3,YES
,tests/test_requests.py,CC0002,,TestRequests.test_http_302_doesnt_change_head_to_get,2,YES
,tests/test_requests.py,CC0002,,TestRequests.test_http_303_doesnt_change_head_to_get,2,YES
,tests/test_requests.py,CC0003,,TestRequests.test_header_no_return_chars,2,YES
,tests/test_requests.py,CC0003,,TestRequests.test_header_no_leading_space,2,YES
,tests/test_requests.py,CC0004,,TestRequests.test_should_strip_auth_host_change,3,YES
,tests/test_requests.py,CC0004,,TestRequests.test_should_strip_auth_http_downgrade,3,YES
,tests/test_requests.py,CC0004,,TestRequests.test_should_strip_auth_port_change,3,YES
,tests/test_requests.py,CC0005,,TestRequests.test_proxy_auth,2,YES
,tests/test_requests.py,CC0005,,TestRequests.test_proxy_auth_empty_pass,2,YES
,tests/test_help.py,CC0006,Type-2,test_idna_without_version_attribute,2,YES
,tests/test_help.py,CC0006,Type-2,test_idna_with_version_attribute,2,YES
